Crop,Season,State,Area,Annual_Rainfall,Avg_Temperature,humidity_pct,soil_N_kg_sq_foot,soil_P_kg_sq_foot,soil_K_kg_sq_foot
Turmeric,4,29,1343443657.0240002,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Urad,1,29,7456268373.184,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Urad,2,29,1796927202.176,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Black pepper,1,21,1291669.2480000001,1434.588,28.324,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Coriander,1,21,215278.208,1434.588,28.324,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Dry chillies,1,21,861112.832,1434.588,28.324,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Groundnut,2,21,112590502.78400001,1434.588,28.324,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Onion,1,21,2798616.7040000004,1434.588,28.324,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Tapioca,1,21,69857778.496,1434.588,28.324,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Arhar/Tur,1,2,824192619.3280001,2354.4,24.142,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Banana,4,2,4508463871.04,2354.4,24.142,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Coconut ,4,2,2170650171.264,2354.4,24.142,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Dry chillies,4,2,1584878167.296,2354.4,24.142,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Gram,2,2,323132590.208,2354.4,24.142,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Onion,4,2,870046877.6320001,2354.4,24.142,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Potato,4,2,8283690165.632001,2354.4,24.142,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Sweet potato,4,2,1015359668.0320001,2354.4,24.142,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Tapioca,4,2,301174212.99200004,2354.4,24.142,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Turmeric,4,2,1154859946.816,2354.4,24.142,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Banana,4,6,204514297.60000002,2964.9,25.083,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Black pepper,4,6,26909776.0,2964.9,25.083,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Cashewnut,4,6,5691417624.0,2964.9,25.083,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Coconut ,4,6,2675692847.2320004,2964.9,25.083,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Groundnut,1,6,37673686.400000006,2964.9,25.083,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Groundnut,2,6,112805780.99200001,2964.9,25.083,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Arhar/Tur,1,12,51171199485.184006,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Black pepper,4,12,472212749.248,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Cardamom,4,12,2176247404.672,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Coconut ,4,12,33411070242.496002,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Coriander,4,12,1930507330.24,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Dry chillies,4,12,18332984554.176003,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Garlic,4,12,384702157.69600004,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Ginger,1,12,419361949.184,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Gram,2,12,38246972267.904,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Groundnut,1,12,108992881011.00801,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Groundnut,2,12,23405584969.280003,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Moong(Green Gram),1,12,33553261498.88,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Moong(Green Gram),2,12,1682076278.2080002,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Onion,1,12,8602624830.784,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Onion,2,12,956050521.728,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Onion,3,12,516344781.888,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Peas & beans (Pulses),1,12,186215649.92000002,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Peas & beans (Pulses),2,12,53173717.376,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Peas & beans (Pulses),3,12,170392701.632,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Potato,1,12,3095162435.52,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Potato,2,12,449177980.99200004,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Potato,3,12,122385661.24800001,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Potato,4,12,28847279.872,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Turmeric,4,12,538948993.728,1260.8,25.85,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Banana,4,13,3285253093.184,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Black pepper,4,13,19631650343.936,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Cardamom,4,13,4461533221.696,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Cashewnut,4,13,9824005743.872,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Coconut ,4,13,94968689789.95201,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Dry chillies,4,13,31968813.888,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Garlic,4,13,79868215.168,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Ginger,4,13,1195547528.128,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Groundnut,1,13,755734149.184,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Sweet potato,4,13,118295375.296,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Tapioca,4,13,12138892314.496,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Turmeric,4,13,398910519.424,3151.5,25.354,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Arhar/Tur,1,17,92677268.544,6552.7,19.131,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Banana,4,17,559077506.176,6552.7,19.131,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Dry chillies,4,17,189875379.456,6552.7,19.131,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Ginger,1,17,796852286.9120001,6552.7,19.131,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Gram,2,17,49836905.152,6552.7,19.131,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Potato,4,17,2233834325.3120003,6552.7,19.131,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Sweet potato,4,17,557678197.824,6552.7,19.131,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Tapioca,4,17,426573769.152,6552.7,19.131,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Turmeric,4,17,148003768.0,6552.7,19.131,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Arhar/Tur,1,29,280507505.024,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Cardamom,4,29,309462424.0,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Coconut ,4,29,2649644184.064,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Dry chillies,4,29,6927006898.816,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Ginger,1,29,1011592299.3920001,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Gram,2,29,2506484175.744,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Groundnut,4,29,3246072459.328,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Masoor,2,29,5588514640.576,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Moong(Green Gram),1,29,88479343.488,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Moong(Green Gram),2,29,293747114.81600004,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Moong(Green Gram),3,29,1003196449.2800001,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Peas & beans (Pulses),2,29,993508929.9200001,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Potato,4,29,34250655253.696003,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Turmeric,4,29,1373797884.352,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Urad,1,29,6337575165.312,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Urad,2,29,1626642139.648,2152.5,25.748,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Arhar/Tur,1,2,782105729.664,2201.8,24.694,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Banana,4,2,4512446517.8880005,2201.8,24.694,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Coconut ,4,2,2178400186.7520003,2201.8,24.694,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Dry chillies,4,2,1551940601.4720001,2201.8,24.694,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Gram,2,2,251444946.944,2201.8,24.694,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Onion,4,2,792762000.96,2201.8,24.694,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Potato,4,2,8261085953.792001,2201.8,24.694,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Sweet potato,4,2,963908176.32,2201.8,24.694,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Tapioca,4,2,305264498.944,2201.8,24.694,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Turmeric,4,2,1181877361.92,2201.8,24.694,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Banana,4,6,209896252.8,3879.3,24.848,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Black pepper,4,6,29600753.6,3879.3,24.848,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Cashewnut,4,6,5736303130.368,3879.3,24.848,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Coconut ,4,6,2688286622.4,3879.3,24.848,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Groundnut,1,6,37673686.400000006,3879.3,24.848,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Groundnut,2,6,108069660.41600001,3879.3,24.848,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Banana,4,13,4202876454.7840004,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Black pepper,4,13,21356244068.224003,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Cardamom,4,13,4466054064.064,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Cashewnut,4,13,9623258814.912,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Coconut ,4,13,99569938568.64,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Dry chillies,4,13,33583400.448,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Garlic,4,13,91385599.296,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Ginger,4,13,1212446867.456,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Groundnut,1,13,744970238.784,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Sweet potato,4,13,106455073.856,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Tapioca,4,13,12047183797.888,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Turmeric,4,13,427434881.984,2914.6,24.741,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Arhar/Tur,1,17,93753659.584,6200.3,19.588,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Banana,4,17,572532394.176,6200.3,19.588,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Dry chillies,4,17,192673996.16000003,6200.3,19.588,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Ginger,1,17,818703025.024,6200.3,19.588,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Gram,2,17,49513987.84,6200.3,19.588,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Potato,4,17,1973993528.256,6200.3,19.588,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Sweet potato,4,17,561876122.88,6200.3,19.588,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Tapioca,4,17,432924476.28800005,6200.3,19.588,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Turmeric,4,17,156937813.632,6200.3,19.588,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Banana,4,21,30354227.328,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Black pepper,4,21,1291669.2480000001,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Cashewnut,4,21,22604211.84,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Coconut ,4,21,238312976.256,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Coriander,4,21,322917.31200000003,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Dry chillies,4,21,1184030.144,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Ginger,1,21,14316000.832,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Groundnut,1,21,96659915.392,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Moong(Green Gram),2,21,264038722.11200002,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Onion,4,21,1506947.456,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Tapioca,4,21,39288272.96,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Urad,2,21,340031929.536,1434.588,27.736,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Arhar/Tur,1,29,331205523.008,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Cardamom,4,29,309462424.0,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Coconut ,4,29,2606588542.464,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Dry chillies,0,29,1813611263.296,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Dry chillies,2,29,4982937041.472,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Ginger,1,29,986512388.1600001,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Gram,2,29,2865137670.2720003,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Groundnut,1,29,517098255.61600006,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Groundnut,2,29,656383256.192,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Groundnut,3,29,2500779303.2320004,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Masoor,2,29,6324873751.04,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Moong(Green Gram),1,29,62215402.112,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Moong(Green Gram),2,29,255642872.00000003,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Moong(Green Gram),3,29,855407959.488,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Peas & beans (Pulses),2,29,757886931.264,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Potato,3,29,266729699.712,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Potato,5,29,33731188937.792004,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Turmeric,4,29,1429770218.4320002,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Urad,1,29,6485686572.416,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Urad,2,29,1994229679.808,2318.1,25.806,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Arhar/Tur,1,0,54612421640.064,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Arhar/Tur,2,0,656383256.192,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Banana,4,0,5279805690.304,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Cashewnut,4,0,15641576397.76,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Coconut ,4,0,11048723469.184,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Coriander,4,0,6290536876.864,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Dry chillies,1,0,19777716608.064003,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Dry chillies,2,0,5840713061.248,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Ginger,4,0,250691473.21600002,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Gram,1,0,10763910.4,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Gram,2,0,21609949436.352,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Groundnut,1,0,172367771551.29602,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Groundnut,2,0,29328211388.672,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Moong(Green Gram),1,0,42196358632.768005,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Moong(Green Gram),2,0,13817093584.960001,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Onion,1,0,1836107836.032,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Onion,2,0,1426002849.792,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Potato,4,0,267913729.856,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Sweet potato,4,0,208604583.55200002,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Tapioca,4,0,2314886570.624,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Urad,1,0,10701802636.992,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Urad,2,0,49068792505.856,935.6,27.813,57.3,0.000899301462015197,0.0005564892311437015,1.5793517411423913e-05
Arhar/Tur,1,2,783612677.12,1965.5,23.738,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Banana,4,2,4578321649.536,1965.5,23.738,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
